per,std,omt,acc,method
600,0,0.0,1.0,STATS-BASED
600,0,0.0,1.0,UPNSCA
600,0,0.0,1.0,BAYWATCH
600,0,0.0,1.0,Our Proposed
600,2,0.0,0.0,STATS-BASED
600,2,0.0,0.0,UPNSCA
600,2,0.0,1.0,BAYWATCH
600,2,0.0,1.0,Our Proposed
600,4,0.0,0.0,STATS-BASED
600,4,0.0,0.0,UPNSCA
600,4,0.0,1.0,BAYWATCH
600,4,0.0,1.0,Our Proposed
600,6,0.0,0.0,STATS-BASED
600,6,0.0,0.0,UPNSCA
600,6,0.0,1.0,BAYWATCH
600,6,0.0,1.0,Our Proposed
600,8,0.0,0.0,STATS-BASED
600,8,0.0,0.0,UPNSCA
600,8,0.0,1.0,BAYWATCH
600,8,0.0,1.0,Our Proposed
600,10,0.0,0.0,STATS-BASED
600,10,0.0,0.0,UPNSCA
600,10,0.0,0.92,BAYWATCH
600,10,0.0,1.0,Our Proposed
600,12,0.0,0.0,STATS-BASED
600,12,0.0,0.0,UPNSCA
600,12,0.0,0.85,BAYWATCH
600,12,0.0,1.0,Our Proposed
600,14,0.0,0.0,STATS-BASED
600,14,0.0,0.0,UPNSCA
600,14,0.0,0.86,BAYWATCH
600,14,0.0,1.0,Our Proposed
600,16,0.0,0.0,STATS-BASED
600,16,0.0,0.0,UPNSCA
600,16,0.0,0.73,BAYWATCH
600,16,0.0,1.0,Our Proposed
600,18,0.0,0.0,STATS-BASED
600,18,0.0,0.0,UPNSCA
600,18,0.0,0.69,BAYWATCH
600,18,0.0,1.0,Our Proposed
600,20,0.0,0.0,STATS-BASED
600,20,0.0,0.0,UPNSCA
600,20,0.0,0.68,BAYWATCH
600,20,0.0,0.95,Our Proposed
600,22,0.0,0.0,STATS-BASED
600,22,0.0,0.0,UPNSCA
600,22,0.0,0.59,BAYWATCH
600,22,0.0,0.97,Our Proposed
600,24,0.0,0.0,STATS-BASED
600,24,0.0,0.0,UPNSCA
600,24,0.0,0.52,BAYWATCH
600,24,0.0,0.76,Our Proposed
600,26,0.0,0.0,STATS-BASED
600,26,0.0,0.0,UPNSCA
600,26,0.0,0.39,BAYWATCH
600,26,0.0,0.71,Our Proposed
600,28,0.0,0.0,STATS-BASED
600,28,0.0,0.0,UPNSCA
600,28,0.0,0.14,BAYWATCH
600,28,0.0,0.56,Our Proposed
600,30,0.0,0.0,STATS-BASED
600,30,0.0,0.0,UPNSCA
600,30,0.0,0.04,BAYWATCH
600,30,0.0,0.6,Our Proposed
600,32,0.0,0.0,STATS-BASED
600,32,0.0,0.0,UPNSCA
600,32,0.0,0.02,BAYWATCH
600,32,0.0,0.61,Our Proposed
600,34,0.0,0.0,STATS-BASED
600,34,0.0,0.0,UPNSCA
600,34,0.0,0.01,BAYWATCH
600,34,0.0,0.6,Our Proposed
600,36,0.0,0.0,STATS-BASED
600,36,0.0,0.0,UPNSCA
600,36,0.0,0.01,BAYWATCH
600,36,0.0,0.61,Our Proposed
600,38,0.0,0.0,STATS-BASED
600,38,0.0,0.0,UPNSCA
600,38,0.0,0.01,BAYWATCH
600,38,0.0,0.66,Our Proposed
600,40,0.0,0.0,STATS-BASED
600,40,0.0,0.0,UPNSCA
600,40,0.0,0.01,BAYWATCH
600,40,0.0,0.62,Our Proposed
600,42,0.0,0.0,STATS-BASED
600,42,0.0,0.0,UPNSCA
600,42,0.0,0.0,BAYWATCH
600,42,0.0,0.6,Our Proposed
600,44,0.0,0.0,STATS-BASED
600,44,0.0,0.0,UPNSCA
600,44,0.0,0.0,BAYWATCH
600,44,0.0,0.48,Our Proposed
600,46,0.0,0.0,STATS-BASED
600,46,0.0,0.0,UPNSCA
600,46,0.0,0.0,BAYWATCH
600,46,0.0,0.43,Our Proposed
600,48,0.0,0.0,STATS-BASED
600,48,0.0,0.0,UPNSCA
600,48,0.0,0.0,BAYWATCH
600,48,0.0,0.31,Our Proposed
600,50,0.0,0.0,STATS-BASED
600,50,0.0,0.0,UPNSCA
600,50,0.0,0.01,BAYWATCH
600,50,0.0,0.36,Our Proposed
3600,0,0.0,1.0,STATS-BASED
3600,0,0.0,1.0,UPNSCA
3600,0,0.0,1.0,BAYWATCH
3600,0,0.0,1.0,Our Proposed
3600,2,0.0,0.0,STATS-BASED
3600,2,0.0,0.0,UPNSCA
3600,2,0.0,0.87,BAYWATCH
3600,2,0.0,1.0,Our Proposed
3600,4,0.0,0.0,STATS-BASED
3600,4,0.0,0.0,UPNSCA
3600,4,0.0,0.69,BAYWATCH
3600,4,0.0,0.96,Our Proposed
3600,6,0.0,0.0,STATS-BASED
3600,6,0.0,0.0,UPNSCA
3600,6,0.0,0.72,BAYWATCH
3600,6,0.0,0.99,Our Proposed
3600,8,0.0,0.0,STATS-BASED
3600,8,0.0,0.0,UPNSCA
3600,8,0.0,0.59,BAYWATCH
3600,8,0.0,0.94,Our Proposed
3600,10,0.0,0.0,STATS-BASED
3600,10,0.0,0.0,UPNSCA
3600,10,0.0,0.59,BAYWATCH
3600,10,0.0,0.97,Our Proposed
3600,12,0.0,0.0,STATS-BASED
3600,12,0.0,0.0,UPNSCA
3600,12,0.0,0.6,BAYWATCH
3600,12,0.0,0.94,Our Proposed
3600,14,0.0,0.0,STATS-BASED
3600,14,0.0,0.0,UPNSCA
3600,14,0.0,0.49,BAYWATCH
3600,14,0.0,0.75,Our Proposed
3600,16,0.0,0.0,STATS-BASED
3600,16,0.0,0.0,UPNSCA
3600,16,0.0,0.34,BAYWATCH
3600,16,0.0,0.49,Our Proposed
3600,18,0.0,0.0,STATS-BASED
3600,18,0.0,0.0,UPNSCA
3600,18,0.0,0.22,BAYWATCH
3600,18,0.0,0.24,Our Proposed
3600,20,0.0,0.0,STATS-BASED
3600,20,0.0,0.0,UPNSCA
3600,20,0.0,0.08,BAYWATCH
3600,20,0.0,0.09,Our Proposed
3600,22,0.0,0.0,STATS-BASED
3600,22,0.0,0.0,UPNSCA
3600,22,0.0,0.06,BAYWATCH
3600,22,0.0,0.03,Our Proposed
3600,24,0.0,0.0,STATS-BASED
3600,24,0.0,0.0,UPNSCA
3600,24,0.0,0.02,BAYWATCH
3600,24,0.0,0.01,Our Proposed
3600,26,0.0,0.0,STATS-BASED
3600,26,0.0,0.0,UPNSCA
3600,26,0.0,0.01,BAYWATCH
3600,26,0.0,0.0,Our Proposed
3600,28,0.0,0.0,STATS-BASED
3600,28,0.0,0.0,UPNSCA
3600,28,0.0,0.0,BAYWATCH
3600,28,0.0,0.01,Our Proposed
3600,30,0.0,0.0,STATS-BASED
3600,30,0.0,0.0,UPNSCA
3600,30,0.0,0.0,BAYWATCH
3600,30,0.0,0.01,Our Proposed
3600,32,0.0,0.0,STATS-BASED
3600,32,0.0,0.0,UPNSCA
3600,32,0.0,0.0,BAYWATCH
3600,32,0.0,0.01,Our Proposed
3600,34,0.0,0.0,STATS-BASED
3600,34,0.0,0.0,UPNSCA
3600,34,0.0,0.0,BAYWATCH
3600,34,0.0,0.01,Our Proposed
3600,36,0.0,0.0,STATS-BASED
3600,36,0.0,0.0,UPNSCA
3600,36,0.0,0.0,BAYWATCH
3600,36,0.0,0.0,Our Proposed
3600,38,0.0,0.0,STATS-BASED
3600,38,0.0,0.0,UPNSCA
3600,38,0.0,0.0,BAYWATCH
3600,38,0.0,0.04,Our Proposed
3600,40,0.0,0.0,STATS-BASED
3600,40,0.0,0.0,UPNSCA
3600,40,0.0,0.0,BAYWATCH
3600,40,0.0,0.03,Our Proposed
3600,42,0.0,0.0,STATS-BASED
3600,42,0.0,0.0,UPNSCA
3600,42,0.0,0.0,BAYWATCH
3600,42,0.0,0.01,Our Proposed
3600,44,0.0,0.0,STATS-BASED
3600,44,0.0,0.0,UPNSCA
3600,44,0.0,0.0,BAYWATCH
3600,44,0.0,0.06,Our Proposed
3600,46,0.0,0.0,STATS-BASED
3600,46,0.0,0.0,UPNSCA
3600,46,0.0,0.0,BAYWATCH
3600,46,0.0,0.02,Our Proposed
3600,48,0.0,0.0,STATS-BASED
3600,48,0.0,0.0,UPNSCA
3600,48,0.0,0.0,BAYWATCH
3600,48,0.0,0.01,Our Proposed
3600,50,0.0,0.0,STATS-BASED
3600,50,0.0,0.0,UPNSCA
3600,50,0.0,0.0,BAYWATCH
3600,50,0.0,0.02,Our Proposed
