per,std,omt,acc,method
600,0.0,0,1.0,STATS-BASED
600,0.0,0,1.0,UPNSCA
600,0.0,0,1.0,BAYWATCH
600,0.0,0,1.0,Our Proposed
600,0.0,5,0.0,STATS-BASED
600,0.0,5,0.07,UPNSCA
600,0.0,5,0.11,BAYWATCH
600,0.0,5,1.0,Our Proposed
600,0.0,10,0.0,STATS-BASED
600,0.0,10,0.0,UPNSCA
600,0.0,10,0.0,BAYWATCH
600,0.0,10,1.0,Our Proposed
600,0.0,15,0.0,STATS-BASED
600,0.0,15,0.0,UPNSCA
600,0.0,15,0.0,BAYWATCH
600,0.0,15,1.0,Our Proposed
600,0.0,20,0.0,STATS-BASED
600,0.0,20,0.0,UPNSCA
600,0.0,20,0.0,BAYWATCH
600,0.0,20,1.0,Our Proposed
600,0.0,25,0.0,STATS-BASED
600,0.0,25,0.0,UPNSCA
600,0.0,25,0.0,BAYWATCH
600,0.0,25,1.0,Our Proposed
600,0.0,30,0.0,STATS-BASED
600,0.0,30,0.0,UPNSCA
600,0.0,30,0.0,BAYWATCH
600,0.0,30,1.0,Our Proposed
600,0.0,35,0.0,STATS-BASED
600,0.0,35,0.0,UPNSCA
600,0.0,35,0.0,BAYWATCH
600,0.0,35,1.0,Our Proposed
600,0.0,40,0.0,STATS-BASED
600,0.0,40,0.0,UPNSCA
600,0.0,40,0.0,BAYWATCH
600,0.0,40,1.0,Our Proposed
600,0.0,45,0.0,STATS-BASED
600,0.0,45,0.0,UPNSCA
600,0.0,45,0.0,BAYWATCH
600,0.0,45,1.0,Our Proposed
600,0.0,50,0.0,STATS-BASED
600,0.0,50,0.0,UPNSCA
600,0.0,50,0.0,BAYWATCH
600,0.0,50,1.0,Our Proposed
600,0.0,55,0.0,STATS-BASED
600,0.0,55,0.0,UPNSCA
600,0.0,55,0.0,BAYWATCH
600,0.0,55,1.0,Our Proposed
600,0.0,60,0.0,STATS-BASED
600,0.0,60,0.0,UPNSCA
600,0.0,60,0.0,BAYWATCH
600,0.0,60,1.0,Our Proposed
600,0.0,65,0.0,STATS-BASED
600,0.0,65,0.0,UPNSCA
600,0.0,65,0.0,BAYWATCH
600,0.0,65,1.0,Our Proposed
600,0.0,70,0.0,STATS-BASED
600,0.0,70,0.0,UPNSCA
600,0.0,70,0.0,BAYWATCH
600,0.0,70,1.0,Our Proposed
600,0.0,75,0.0,STATS-BASED
600,0.0,75,0.0,UPNSCA
600,0.0,75,0.0,BAYWATCH
600,0.0,75,1.0,Our Proposed
600,0.0,80,0.0,STATS-BASED
600,0.0,80,0.0,UPNSCA
600,0.0,80,0.0,BAYWATCH
600,0.0,80,0.97,Our Proposed
600,0.0,85,0.0,STATS-BASED
600,0.0,85,0.0,UPNSCA
600,0.0,85,0.0,BAYWATCH
600,0.0,85,0.88,Our Proposed
600,0.0,90,0.0,STATS-BASED
600,0.0,90,0.0,UPNSCA
600,0.0,90,0.03,BAYWATCH
600,0.0,90,0.71,Our Proposed
600,0.0,95,0.02,STATS-BASED
600,0.0,95,0.0,UPNSCA
600,0.0,95,0.09,BAYWATCH
600,0.0,95,0.3,Our Proposed
600,0.0,100,0.0,STATS-BASED
600,0.0,100,0.0,UPNSCA
600,0.0,100,0.0,BAYWATCH
600,0.0,100,0.0,Our Proposed
3600,0.0,0,1.0,STATS-BASED
3600,0.0,0,1.0,UPNSCA
3600,0.0,0,1.0,BAYWATCH
3600,0.0,0,1.0,Our Proposed
3600,0.0,5,0.35,STATS-BASED
3600,0.0,5,0.4,UPNSCA
3600,0.0,5,0.99,BAYWATCH
3600,0.0,5,1.0,Our Proposed
3600,0.0,10,0.09,STATS-BASED
3600,0.0,10,0.15,UPNSCA
3600,0.0,10,0.94,BAYWATCH
3600,0.0,10,1.0,Our Proposed
3600,0.0,15,0.02,STATS-BASED
3600,0.0,15,0.12,UPNSCA
3600,0.0,15,0.8,BAYWATCH
3600,0.0,15,1.0,Our Proposed
3600,0.0,20,0.01,STATS-BASED
3600,0.0,20,0.04,UPNSCA
3600,0.0,20,0.64,BAYWATCH
3600,0.0,20,1.0,Our Proposed
3600,0.0,25,0.0,STATS-BASED
3600,0.0,25,0.03,UPNSCA
3600,0.0,25,0.5,BAYWATCH
3600,0.0,25,1.0,Our Proposed
3600,0.0,30,0.0,STATS-BASED
3600,0.0,30,0.03,UPNSCA
3600,0.0,30,0.51,BAYWATCH
3600,0.0,30,1.0,Our Proposed
3600,0.0,35,0.0,STATS-BASED
3600,0.0,35,0.02,UPNSCA
3600,0.0,35,0.41,BAYWATCH
3600,0.0,35,1.0,Our Proposed
3600,0.0,40,0.0,STATS-BASED
3600,0.0,40,0.0,UPNSCA
3600,0.0,40,0.38,BAYWATCH
3600,0.0,40,1.0,Our Proposed
3600,0.0,45,0.0,STATS-BASED
3600,0.0,45,0.0,UPNSCA
3600,0.0,45,0.34,BAYWATCH
3600,0.0,45,1.0,Our Proposed
3600,0.0,50,0.0,STATS-BASED
3600,0.0,50,0.0,UPNSCA
3600,0.0,50,0.34,BAYWATCH
3600,0.0,50,0.98,Our Proposed
3600,0.0,55,0.0,STATS-BASED
3600,0.0,55,0.0,UPNSCA
3600,0.0,55,0.33,BAYWATCH
3600,0.0,55,0.99,Our Proposed
3600,0.0,60,0.0,STATS-BASED
3600,0.0,60,0.0,UPNSCA
3600,0.0,60,0.45,BAYWATCH
3600,0.0,60,0.98,Our Proposed
3600,0.0,65,0.01,STATS-BASED
3600,0.0,65,0.0,UPNSCA
3600,0.0,65,0.45,BAYWATCH
3600,0.0,65,0.91,Our Proposed
3600,0.0,70,0.01,STATS-BASED
3600,0.0,70,0.0,UPNSCA
3600,0.0,70,0.55,BAYWATCH
3600,0.0,70,0.82,Our Proposed
3600,0.0,75,0.1,STATS-BASED
3600,0.0,75,0.0,UPNSCA
3600,0.0,75,0.43,BAYWATCH
3600,0.0,75,0.63,Our Proposed
3600,0.0,80,0.06,STATS-BASED
3600,0.0,80,0.0,UPNSCA
3600,0.0,80,0.37,BAYWATCH
3600,0.0,80,0.49,Our Proposed
3600,0.0,85,0.17,STATS-BASED
3600,0.0,85,0.0,UPNSCA
3600,0.0,85,0.28,BAYWATCH
3600,0.0,85,0.32,Our Proposed
3600,0.0,90,0.22,STATS-BASED
3600,0.0,90,0.0,UPNSCA
3600,0.0,90,0.11,BAYWATCH
3600,0.0,90,0.11,Our Proposed
3600,0.0,95,0.23,STATS-BASED
3600,0.0,95,0.0,UPNSCA
3600,0.0,95,0.02,BAYWATCH
3600,0.0,95,0.02,Our Proposed
3600,0.0,100,0.0,STATS-BASED
3600,0.0,100,0.0,UPNSCA
3600,0.0,100,0.0,BAYWATCH
3600,0.0,100,0.0,Our Proposed
